ns4:QUOTE_DATE;ns4:RATE_TYPE;ns4:RATE
4-1-2010 00:00;BC_20year;4,599999905
4-1-2010 00:00;Over_10_Years;4,420000076
4-1-2010 00:00;Real_Rate;2,019999981
5-1-2010 00:00;BC_20year;4,539999962
5-1-2010 00:00;Over_10_Years;4,360000134
5-1-2010 00:00;Real_Rate;1,960000038
6-1-2010 00:00;BC_20year;4,630000114
6-1-2010 00:00;Over_10_Years;4,449999809
6-1-2010 00:00;Real_Rate;2,00999999
7-1-2010 00:00;BC_20year;4,619999886
7-1-2010 00:00;Over_10_Years;4,440000057
7-1-2010 00:00;Real_Rate;1,99000001
8-1-2010 00:00;BC_20year;4,610000134
8-1-2010 00:00;Over_10_Years;4,429999828
8-1-2010 00:00;Real_Rate;1,980000019
11-1-2010 00:00;BC_20year;4,639999866
11-1-2010 00:00;Over_10_Years;4,449999809
11-1-2010 00:00;Real_Rate;2,019999981
12-1-2010 00:00;BC_20year;4,519999981
12-1-2010 00:00;Over_10_Years;4,329999924
12-1-2010 00:00;Real_Rate;1,940000057
13-1-2010 00:00;BC_20year;4,599999905
13-1-2010 00:00;Over_10_Years;4,409999847
13-1-2010 00:00;Real_Rate;2,029999971
14-1-2010 00:00;BC_20year;4,519999981
14-1-2010 00:00;Over_10_Years;4,340000153
14-1-2010 00:00;Real_Rate;1,99000001
15-1-2010 00:00;BC_20year;4,480000019
15-1-2010 00:00;Over_10_Years;4,289999962
15-1-2010 00:00;Real_Rate;1,980000019
19-1-2010 00:00;BC_20year;4,489999771
19-1-2010 00:00;Over_10_Years;4,309999943
19-1-2010 00:00;Real_Rate;2
20-1-2010 00:00;BC_20year;4,429999828
20-1-2010 00:00;Over_10_Years;4,25
20-1-2010 00:00;Real_Rate;1,960000038
21-1-2010 00:00;BC_20year;4,380000114
21-1-2010 00:00;Over_10_Years;4,199999809
21-1-2010 00:00;Real_Rate;1,929999948
22-1-2010 00:00;BC_20year;4,380000114
22-1-2010 00:00;Over_10_Years;4,190000057
22-1-2010 00:00;Real_Rate;1,950000048
25-1-2010 00:00;BC_20year;4,420000076
25-1-2010 00:00;Over_10_Years;4,239999771
25-1-2010 00:00;Real_Rate;1,980000019
26-1-2010 00:00;BC_20year;4,429999828
26-1-2010 00:00;Over_10_Years;4,239999771
26-1-2010 00:00;Real_Rate;1,970000029
27-1-2010 00:00;BC_20year;4,420000076
27-1-2010 00:00;Over_10_Years;4,239999771
27-1-2010 00:00;Real_Rate;1,970000029
28-1-2010 00:00;BC_20year;4,440000057
28-1-2010 00:00;Over_10_Years;4,260000229
28-1-2010 00:00;Real_Rate;1,950000048
29-1-2010 00:00;BC_20year;4,380000114
29-1-2010 00:00;Over_10_Years;4,199999809
29-1-2010 00:00;Real_Rate;1,899999976
1-2-2010 00:00;BC_20year;4,429999828
1-2-2010 00:00;Over_10_Years;4,25
1-2-2010 00:00;Real_Rate;1,899999976
2-2-2010 00:00;BC_20year;4,420000076
2-2-2010 00:00;Over_10_Years;4,239999771
2-2-2010 00:00;Real_Rate;1,889999986
3-2-2010 00:00;BC_20year;4,489999771
3-2-2010 00:00;Over_10_Years;4,309999943
3-2-2010 00:00;Real_Rate;1,929999948
4-2-2010 00:00;BC_20year;4,389999866
4-2-2010 00:00;Over_10_Years;4,199999809
4-2-2010 00:00;Real_Rate;1,899999976
5-2-2010 00:00;BC_20year;4,360000134
5-2-2010 00:00;Over_10_Years;4,170000076
5-2-2010 00:00;Real_Rate;1,940000057
8-2-2010 00:00;BC_20year;4,380000114
8-2-2010 00:00;Over_10_Years;4,190000057
8-2-2010 00:00;Real_Rate;1,950000048
9-2-2010 00:00;BC_20year;4,440000057
9-2-2010 00:00;Over_10_Years;4,25
9-2-2010 00:00;Real_Rate;1,980000019
10-2-2010 00:00;BC_20year;4,510000229
10-2-2010 00:00;Over_10_Years;4,320000172
10-2-2010 00:00;Real_Rate;2,049999952
11-2-2010 00:00;BC_20year;4,539999962
11-2-2010 00:00;Over_10_Years;4,349999905
11-2-2010 00:00;Real_Rate;2,099999905
12-2-2010 00:00;BC_20year;4,519999981
12-2-2010 00:00;Over_10_Years;4,320000172
12-2-2010 00:00;Real_Rate;2,089999914
16-2-2010 00:00;BC_20year;4,489999771
16-2-2010 00:00;Over_10_Years;4,320000172
16-2-2010 00:00;Real_Rate;2,059999943
17-2-2010 00:00;BC_20year;4,559999943
17-2-2010 00:00;Over_10_Years;4,400000095
17-2-2010 00:00;Real_Rate;2,079999924
18-2-2010 00:00;BC_20year;4,610000134
18-2-2010 00:00;Over_10_Years;4,440000057
18-2-2010 00:00;Real_Rate;2,099999905
19-2-2010 00:00;BC_20year;4,579999924
19-2-2010 00:00;Over_10_Years;4,420000076
19-2-2010 00:00;Real_Rate;2,099999905
22-2-2010 00:00;BC_20year;4,599999905
22-2-2010 00:00;Over_10_Years;4,440000057
22-2-2010 00:00;Real_Rate;2,140000105
23-2-2010 00:00;BC_20year;4,489999771
23-2-2010 00:00;Over_10_Years;4,329999924
23-2-2010 00:00;Real_Rate;2,099999905
24-2-2010 00:00;BC_20year;4,489999771
24-2-2010 00:00;Over_10_Years;4,329999924
24-2-2010 00:00;Real_Rate;2,119999886
25-2-2010 00:00;BC_20year;4,440000057
25-2-2010 00:00;Over_10_Years;4,28000021
25-2-2010 00:00;Real_Rate;2,109999895
26-2-2010 00:00;BC_20year;4,400000095
26-2-2010 00:00;Over_10_Years;4,239999771
26-2-2010 00:00;Real_Rate;2,079999924
1-3-2010 00:00;BC_20year;4,409999847
1-3-2010 00:00;Over_10_Years;4,25
1-3-2010 00:00;Real_Rate;2,089999914
2-3-2010 00:00;BC_20year;4,420000076
2-3-2010 00:00;Over_10_Years;4,260000229
2-3-2010 00:00;Real_Rate;2,089999914
3-3-2010 00:00;BC_20year;4,429999828
3-3-2010 00:00;Over_10_Years;4,269999981
3-3-2010 00:00;Real_Rate;2,089999914
4-3-2010 00:00;BC_20year;4,400000095
4-3-2010 00:00;Over_10_Years;4,239999771
4-3-2010 00:00;Real_Rate;2,069999933
5-3-2010 00:00;BC_20year;4,489999771
5-3-2010 00:00;Over_10_Years;4,329999924
5-3-2010 00:00;Real_Rate;2,089999914
8-3-2010 00:00;BC_20year;4,519999981
8-3-2010 00:00;Over_10_Years;4,360000134
8-3-2010 00:00;Real_Rate;2,109999895
9-3-2010 00:00;BC_20year;4,53000021
9-3-2010 00:00;Over_10_Years;4,349999905
9-3-2010 00:00;Real_Rate;2,130000114
10-3-2010 00:00;BC_20year;4,53000021
10-3-2010 00:00;Over_10_Years;4,369999886
10-3-2010 00:00;Real_Rate;2,119999886
11-3-2010 00:00;BC_20year;4,510000229
11-3-2010 00:00;Over_10_Years;4,349999905
11-3-2010 00:00;Real_Rate;2,109999895
12-3-2010 00:00;BC_20year;4,46999979
12-3-2010 00:00;Over_10_Years;4,309999943
12-3-2010 00:00;Real_Rate;2,079999924
15-3-2010 00:00;BC_20year;4,480000019
15-3-2010 00:00;Over_10_Years;4,320000172
15-3-2010 00:00;Real_Rate;2,079999924
16-3-2010 00:00;BC_20year;4,429999828
16-3-2010 00:00;Over_10_Years;4,269999981
16-3-2010 00:00;Real_Rate;2,049999952
17-3-2010 00:00;BC_20year;4,409999847
17-3-2010 00:00;Over_10_Years;4,25
