MA;^NYA;8-12-2010
V;^NYA;8-12-2010
BAC;^NYA;27-12-2010
FMHK.EX;FMHK.EX;11-8-2011
VOD;^IXIC;5-10-2011
VIV.PA;^SBF120;19-1-2012
^KLSE;^KLSE;14-2-2012
AAPL;^IXIC;29-5-2012
T;^NYA;16-8-2012
WFC;^NYA;20-12-2012
JPM;^NYA;13-3-2013
TD;^NYA;21-3-2013
AXP;^NYA;28-3-2013
ING;^NYA;9-4-2013
LNKD;^NYA;21-6-2013
WWWW;^IXIC;19-7-2013
MSFT;^IXIC;27-11-2013
RBS;^NYA;4-12-2013
EA;^IXIC;3-1-2014
JPM;^NYA;30-1-2014
BAC;^NYA;30-1-2014
FB;^IXIC;21-2-2014
VZ;^NYA;23-3-2014
ATVI;^IXIC;29-3-2014
ATVI;^IXIC;1-4-2014
DANSKE.CO;^OMXC20;10-7-2014
STB.OL;OSBHF;10-7-2014
GJF.OL;OSBHF;10-7-2014
SNE;^NYA;24-8-2014
AMZN;^IXIC;27-8-2014
ATVI;^IXIC;14-11-2014
SNE;^NYA;26-11-2014
RAX;^NYA;22-12-2014
MSFT;^IXIC;24-12-2014
SNE;^NYA;24-12-2014
MSFT;^IXIC;25-12-2014
BABA;^NYA;25-12-2014
NDA.ST;^OMXN40;4-1-2015
FB;^IXIC;27-1-2015
AMZN;^IXIC;16-3-2015
EA;^IXIC;18-3-2015
DC.L;LSE.L;8-8-2015
LBTYA;^IXIC;18-8-2015
LBTYA;^IXIC;20-8-2015
OSTK;^IXIC;3-9-2015
